id,Address_US,Freq,last_update,Web,Gender,Address_RES,Purchase
245,0,1,42,0,0,1,0
246,0,1,772,0,0,0,1
247,1,2,2194,0,0,1,1
248,0,2,1141,0,1,0,1
249,1,1,3011,0,1,0,1
250,1,2,2080,1,0,1,1
251,1,0,3507,0,0,0,0
252,1,1,1968,1,1,0,0
253,1,1,962,0,0,0,1
254,1,1,2212,0,0,0,0
255,1,1,2648,1,1,0,1
256,1,2,1415,0,1,1,0
257,1,2,1758,1,1,0,1
258,1,1,2383,0,1,0,0
259,0,1,814,1,1,0,1
260,1,1,58,1,0,0,1
261,0,0,3528,1,1,0,0
262,1,1,2960,0,0,0,1
263,1,2,1882,1,0,0,1
264,1,0,2737,0,1,1,0
265,1,2,2163,0,0,0,1
266,0,1,1683,0,0,0,1
267,1,6,800,1,1,0,1
268,1,2,304,1,0,0,1
269,1,4,1134,1,0,0,1
270,1,1,1361,0,0,0,1
271,1,2,1204,0,0,0,1
272,1,1,4065,0,0,0,1
273,1,0,616,1,0,1,0
274,1,1,1415,0,1,1,0
275,0,0,2705,0,1,0,0
276,1,1,107,1,1,0,1
277,0,2,2009,0,1,0,1
278,1,1,833,0,1,0,0
279,0,3,1086,0,1,1,1
280,1,4,1879,0,0,0,1
281,1,0,744,1,0,0,0
282,1,2,1786,1,0,0,1
283,1,4,1129,0,0,0,1
284,1,2,1899,0,0,1,1
285,1,0,301,0,1,0,0
286,1,1,1162,1,0,1,1
287,1,0,2735,0,1,0,0
288,1,1,2478,0,0,0,1
289,1,1,7,0,1,0,1
290,0,2,1130,0,0,0,1
291,0,0,1035,1,1,1,0
292,1,2,2891,1,0,1,1
293,1,1,2599,1,0,0,1
294,0,3,1415,0,1,1,0
295,1,2,1120,1,1,0,1
296,1,1,833,0,1,0,0
297,0,3,283,0,0,0,1
298,1,2,1752,1,1,0,0
299,1,1,3025,1,0,0,1
300,1,2,1175,0,0,0,1
301,1,2,3791,1,1,0,1
302,0,1,2767,1,0,0,1
303,1,1,1690,0,0,0,1
304,1,1,1666,0,0,0,1
305,0,1,2793,1,0,0,1
306,1,1,512,0,0,1,0
307,1,0,3914,0,0,0,0
308,1,1,1290,0,0,0,1
309,0,1,1626,0,0,0,1
310,1,1,1968,1,0,0,1
311,1,1,2305,1,0,0,1
312,1,0,1505,0,1,0,0
313,1,4,526,1,0,1,1
314,1,0,3394,0,1,0,0
315,1,1,1991,0,1,0,1
316,0,1,3453,0,1,0,0
317,0,1,408,0,0,1,1
318,1,1,2102,1,1,0,1
319,1,4,2100,0,1,0,1
320,0,3,3398,1,0,0,1
321,0,2,3479,0,0,1,1
322,1,0,441,1,1,0,0
323,1,2,520,1,1,0,1
324,1,2,2194,0,1,1,1
325,1,2,217,1,1,0,0
326,1,0,3401,0,1,0,0
327,1,2,1582,1,0,1,1
328,1,1,2380,1,1,0,0
329,1,0,3522,0,0,0,0
330,1,1,868,1,0,0,0
331,1,1,2758,1,0,0,1
332,1,3,2481,1,1,0,1
333,1,0,3522,0,0,0,0
334,1,0,2943,0,1,0,0
335,1,1,2404,0,1,0,1
336,1,1,2278,1,1,0,0
337,1,0,1710,1,0,0,0
338,1,1,833,0,0,0,0
339,1,1,2529,0,0,0,0
340,1,1,868,0,1,0,0
341,1,2,916,1,0,1,1
342,1,0,2539,0,1,0,0
343,1,1,2299,0,1,0,0
344,1,1,1864,0,0,0,1
345,0,2,295,0,0,0,1
346,1,2,1128,0,1,0,1
347,1,4,492,1,1,1,1
348,1,1,3334,0,1,0,0
349,1,1,2962,1,1,0,1
350,1,1,4157,0,1,0,1
351,1,1,891,1,1,0,1
352,1,3,2065,0,1,0,1
353,1,1,1346,0,1,1,0
354,1,2,2054,1,1,0,1
355,0,3,1134,0,0,1,1
356,1,1,2831,1,1,0,0
357,1,2,681,0,0,1,0
358,1,1,3185,0,1,1,0
359,1,1,3548,0,0,0,0
360,1,0,304,0,1,1,0
361,1,2,3382,0,0,0,0
362,0,3,841,1,1,1,1
363,1,0,2744,1,0,0,0
364,0,1,2073,0,0,0,0
365,1,2,3655,0,1,0,1
366,0,1,1463,1,1,0,0
367,1,1,3011,0,1,0,0
368,1,1,2802,1,1,0,1
369,1,3,2016,1,0,0,1
370,1,10,430,1,1,0,1
371,1,1,3146,1,0,0,1
372,1,0,3507,0,0,0,0
373,1,2,1536,0,1,0,1
374,1,1,3248,0,0,1,1
375,1,1,3095,0,0,0,0
376,0,1,3235,1,1,1,1
377,1,2,1031,0,1,0,1
378,1,3,2201,0,0,0,1
379,1,1,2529,1,0,0,1
380,1,3,3129,0,1,0,1
381,1,2,3283,1,0,0,1
382,1,1,1646,1,0,1,0
383,1,0,3401,0,0,0,0
384,0,3,479,0,0,0,1
385,1,1,1192,1,1,0,1
386,1,1,314,0,1,0,1
387,0,2,506,1,1,0,1
388,1,2,2072,0,0,0,1
389,1,1,2618,1,1,1,1
390,1,1,9,0,1,1,1
391,1,1,3278,1,0,0,1
392,1,1,217,0,0,1,0
393,1,3,1529,0,1,1,1
394,1,3,3583,0,0,0,1
395,1,2,1856,0,0,1,0
396,1,0,2632,0,1,0,0
397,1,2,1415,0,1,1,0
398,1,0,1249,0,0,0,0
399,1,0,3159,1,0,0,0
400,0,2,458,1,1,0,1
401,0,2,864,0,1,0,1
402,1,0,3747,0,0,0,0
403,1,2,3975,1,1,0,1
404,1,2,2044,1,1,1,1
405,1,2,1646,0,1,1,1
406,1,0,1709,0,0,0,0
407,1,1,2404,0,0,0,1
408,1,0,2765,0,0,0,0
409,1,1,906,1,0,1,1
410,1,2,1498,1,0,1,1
411,0,0,2891,0,1,0,0
412,0,2,2744,1,0,0,1
413,1,1,1646,0,1,1,0
414,1,1,1240,0,0,0,0
415,1,0,2802,0,1,0,0
416,1,0,534,0,1,1,0
417,1,2,1346,0,0,1,0
418,1,3,1842,1,1,1,1
419,1,2,1780,0,0,1,0
420,1,2,247,0,0,0,1
421,1,1,2919,0,1,1,0
422,1,0,2735,0,1,0,0
423,1,1,758,0,1,0,1
424,1,4,1122,0,0,0,1
425,0,3,1137,0,0,1,1
426,1,1,644,0,1,1,0
427,0,4,1794,1,1,1,1
428,1,1,3125,1,0,0,1
429,1,1,974,0,0,0,0
430,0,0,3747,0,1,0,0
431,1,2,216,1,0,0,1
432,1,4,1498,0,1,1,1
433,1,3,1739,0,1,0,1
434,1,0,345,1,1,0,0
435,1,2,1801,1,1,0,0
436,1,1,216,1,1,0,0
437,1,2,1130,0,0,0,1
438,0,1,1612,0,0,0,1
439,1,3,1568,1,0,0,1
440,1,1,2102,1,1,0,1
441,1,1,2863,0,0,0,0
442,1,1,535,0,1,1,1
443,1,1,3430,0,0,0,0
444,0,1,1207,0,1,0,0
445,1,1,486,0,1,0,1
446,1,1,3262,1,1,0,1
447,1,1,2249,0,0,0,1
448,0,3,2647,0,1,0,1
449,1,2,3593,0,1,0,1
450,1,1,1890,0,0,0,1
451,1,1,3306,0,0,0,0
452,1,0,3747,0,0,0,0
453,0,1,4188,1,1,0,1
454,1,1,2772,1,0,0,1
455,1,2,1261,0,0,0,1
456,1,1,827,1,1,0,1
457,1,2,3590,1,0,0,1
458,1,2,1120,1,0,1,1
459,1,3,1570,1,0,0,1
460,1,2,1253,0,1,0,0
461,1,1,2977,0,0,0,1
462,0,2,458,1,0,0,1
463,1,1,1962,1,1,1,0
464,1,1,3255,1,1,0,0
465,0,1,1091,0,0,0,0
466,1,1,1010,0,0,0,0
467,1,1,2991,1,0,1,1
468,1,0,2740,0,0,0,0
469,1,0,2728,1,1,0,0
470,1,1,4065,0,1,0,0
471,1,1,2102,1,0,0,1
472,0,0,220,0,1,0,0
473,1,1,216,0,1,0,0
474,1,2,2950,0,1,0,0
475,1,1,23,0,1,0,0
476,1,1,2999,1,0,0,1
477,1,3,463,1,1,0,1
478,1,1,743,0,0,0,0
479,1,1,700,1,1,1,0
480,1,2,197,1,0,0,0
481,1,3,301,0,0,0,1
482,1,0,2905,1,0,0,0
483,0,1,665,0,1,1,0
484,1,1,308,0,1,0,1
485,1,0,2735,0,0,0,0
486,1,1,2415,1,1,0,1
487,1,1,113,1,0,0,1
488,1,4,1653,1,0,1,1
489,1,0,3507,0,1,0,0
490,1,2,1708,1,1,0,1
491,1,1,3822,0,1,0,0
492,0,2,1976,0,0,0,1
493,1,5,240,0,0,1,1
494,1,4,2481,1,0,0,1
495,1,0,2877,0,1,0,0
496,1,2,2812,0,0,0,1
497,1,0,1227,0,1,0,0
498,1,3,2052,0,0,0,1
499,1,2,2746,1,0,1,1
500,0,1,2236,0,0,0,0
501,1,1,216,0,1,0,0
502,1,0,1451,0,0,0,0
503,0,0,3353,1,1,0,0
504,1,1,206,0,0,0,0
505,1,2,2962,1,1,0,1
506,1,1,3655,0,1,0,0
507,0,0,3107,0,0,0,0
508,1,1,3549,1,1,0,1
509,1,0,1710,0,1,0,0
510,1,1,196,0,1,0,0
511,1,1,3020,1,0,0,1
512,1,0,3747,0,1,0,0
513,1,0,2767,1,1,0,0
514,0,0,3747,1,0,0,0
515,1,0,2730,0,0,0,0
516,1,3,1592,1,1,1,1
517,1,1,681,1,0,1,0
518,1,2,3718,0,0,0,1
519,1,2,1379,0,0,1,1
520,1,3,148,0,1,1,1
521,1,0,3353,1,1,0,0
522,0,1,206,1,0,0,1
523,1,0,2781,0,0,0,0
524,1,1,216,1,0,0,0
525,0,0,3159,0,1,1,0
526,1,1,1792,1,0,0,1
527,1,1,2845,0,1,0,1
528,1,1,2607,1,0,0,1
529,1,1,118,0,0,0,0
530,1,2,1498,0,1,1,0
531,0,0,3489,0,1,0,0
532,1,1,1008,0,0,0,0
533,0,1,17,1,0,0,1
534,1,2,491,1,1,1,1
535,1,1,2941,1,1,0,0
536,1,1,1536,0,0,0,0
537,0,2,3513,1,1,0,1
538,1,1,1184,0,1,0,1
539,0,2,3636,1,1,0,1
540,1,0,3745,1,0,0,0
541,0,2,1995,1,0,1,1
542,0,1,2102,1,1,0,1
543,1,1,1851,1,1,0,1
544,1,1,3684,0,1,0,0
545,1,1,3027,1,0,0,1
546,0,0,3747,1,0,0,0
547,1,3,2957,0,1,0,1
548,1,1,2918,1,1,0,0
549,1,0,3401,1,0,0,0
550,1,1,2355,0,0,0,0
551,0,1,2220,0,1,0,1
552,0,0,3746,0,1,0,0
553,0,5,519,1,0,0,1
554,1,0,2740,0,1,0,0
555,0,2,2142,0,0,1,1
556,1,1,597,1,0,0,1
557,0,0,3394,1,1,0,0
558,1,1,1618,1,0,1,0
559,1,1,1168,1,0,0,1
560,1,0,3694,1,0,0,0
561,1,5,1374,0,1,0,1
562,1,2,1995,1,0,1,1
563,1,0,3507,0,0,0,0
564,1,1,1415,0,0,1,0
565,1,1,204,0,1,0,0
566,1,1,3201,1,1,0,1
567,1,3,2872,1,0,0,1
568,1,1,1795,0,0,0,1
569,1,1,581,1,0,0,1
570,1,0,3680,0,1,0,0
571,0,2,2459,1,1,0,1
572,1,2,1842,0,0,1,0
573,1,0,3747,0,1,0,0
574,1,5,216,1,1,1,1
575,0,2,2831,1,1,0,1
576,1,1,2417,1,1,0,1
577,1,1,3944,1,1,0,1
578,1,2,1646,1,0,1,1
579,1,1,2564,0,0,0,1
580,1,2,3374,1,0,1,1
581,1,2,3759,0,1,0,0
582,1,3,1134,1,0,0,1
583,1,1,1680,1,1,0,1
584,1,0,1870,0,1,0,0
585,1,3,465,0,1,0,1
586,1,2,3642,0,0,0,1
587,0,3,260,0,0,1,1
588,1,2,3914,0,0,1,1
589,0,2,3521,0,0,0,1
590,1,2,1850,0,0,0,1
591,1,0,181,1,0,0,0
592,1,1,2257,1,0,0,1
593,1,1,2809,0,1,0,0
594,1,2,1842,1,0,1,0
595,1,1,2878,0,0,0,0
596,1,2,2199,1,1,0,1
597,1,1,2445,1,0,1,1
598,1,1,3208,0,0,0,0
599,1,1,2481,1,1,0,1
600,1,1,216,1,0,1,0
601,1,7,216,1,1,1,1
602,1,1,3199,1,0,0,1
603,1,1,2781,1,0,0,1
604,1,1,2229,0,1,0,0
605,0,0,238,1,1,1,0
606,1,0,3398,0,1,0,0
607,1,2,2326,1,1,0,1
608,1,1,3630,0,1,0,0
609,1,1,2751,1,1,0,0
610,1,1,532,0,0,1,0
611,1,1,3548,0,0,0,0
612,0,1,2962,0,0,0,1
613,1,1,90,1,0,1,0
614,1,1,2863,0,1,0,0
615,1,2,162,1,1,0,1
616,0,0,2257,0,1,0,0
617,1,0,2877,0,0,0,0
618,1,12,520,1,0,0,1
619,0,1,2878,0,1,0,0
620,1,0,3522,0,1,0,0
621,0,1,1491,0,0,0,1
622,1,2,1837,1,0,1,0
623,1,1,717,1,0,0,1
624,1,3,3740,0,0,0,1
625,1,2,2957,0,1,0,1
626,1,0,3745,0,1,0,0
627,1,2,3213,1,0,1,1
628,1,1,1554,0,0,0,1
629,1,0,1598,0,0,0,0
630,1,1,554,1,0,0,0
631,1,1,3791,1,0,0,0
632,1,0,1709,0,0,0,0
633,1,1,1885,0,1,0,0
634,1,1,4065,1,1,0,1
635,1,2,850,1,1,0,1
636,1,5,15,0,1,0,1
637,1,1,3390,1,1,0,0
638,1,1,2361,0,1,0,0
639,0,1,2704,0,1,0,0
640,1,0,3680,0,0,0,0
641,1,1,120,0,1,0,1
642,1,1,3478,0,0,0,0
643,1,1,582,0,1,0,1
644,1,1,2704,1,1,0,1
645,1,7,1128,1,1,1,1
646,1,2,3944,0,1,1,1
647,0,0,3094,0,1,1,0
648,0,2,114,1,1,0,0
649,1,2,3381,1,0,0,1
650,1,1,3158,0,0,0,1
651,1,1,2759,0,1,0,1
652,1,2,1752,0,1,1,0
653,1,3,792,0,1,0,1
654,1,0,3394,0,1,0,0
655,1,0,4096,0,1,0,0
656,1,1,3327,1,1,1,1
657,1,1,2848,0,0,0,0
658,1,1,331,1,1,0,0
659,0,1,2662,0,0,0,0
660,1,1,1032,1,1,0,0
661,0,1,2466,0,1,0,0
662,1,0,3171,0,1,1,0
663,1,0,2891,1,0,0,0
664,0,2,3157,1,1,0,1
665,1,2,490,1,0,0,1
666,1,2,2012,1,1,1,1
667,0,1,2487,1,0,0,1
668,1,1,3342,0,1,0,1
669,1,1,2787,1,0,0,0
670,1,0,1164,0,1,0,0
671,1,1,2872,0,1,0,0
672,0,1,1091,1,1,0,0
673,1,0,4157,1,0,0,0
674,1,3,2829,0,1,0,1
675,1,2,1346,0,1,1,0
676,0,1,1017,0,0,0,1
677,1,1,3024,0,1,0,0
678,1,1,581,0,1,1,1
679,1,0,2221,0,1,0,0
680,1,1,3397,1,1,0,0
681,1,4,2807,1,0,1,1
682,1,1,3041,1,0,0,1
683,1,0,3423,1,1,0,0
684,1,2,1582,0,1,1,0
685,1,3,441,0,1,0,0
686,1,1,3397,0,0,0,0
687,1,2,2723,0,0,0,1
688,1,1,3397,1,0,0,0
689,0,1,2878,1,1,0,0
690,1,1,2402,0,1,0,1
691,1,1,709,1,0,0,1
692,1,1,1962,0,0,1,0
693,1,1,1673,1,0,0,1
694,1,3,804,1,0,1,0
695,1,1,2379,0,1,0,1
696,1,3,1248,0,0,1,1
697,1,1,3883,1,0,0,1
698,1,3,1809,1,1,1,1
699,1,0,3852,0,1,0,0
700,1,0,136,0,1,0,0
701,1,1,994,0,1,0,0
702,1,5,549,1,1,1,1
703,1,1,2941,0,0,0,1
704,1,1,609,0,1,0,1
705,1,3,2158,1,1,0,1
706,0,0,2768,0,1,0,0
707,0,1,1052,0,1,0,1
708,1,2,2466,1,0,0,1
709,1,0,3558,0,0,0,0
710,1,2,1882,0,0,1,0
711,1,1,2897,1,0,0,0
712,1,2,1563,0,0,0,1
713,1,1,3166,1,0,1,0
714,1,0,1072,0,0,0,0
715,1,1,3650,0,0,0,0
716,1,2,465,1,0,1,1
717,1,1,3496,0,1,0,1
718,0,1,3597,0,1,0,0
719,1,0,3507,0,0,0,0
720,1,2,841,0,1,1,0
721,1,4,1128,0,1,0,1
722,1,2,3382,1,1,0,1
723,1,1,1058,0,0,1,0
724,1,1,582,1,1,0,1
725,1,2,1582,1,0,1,0
726,1,1,2313,0,1,0,1
727,0,1,1437,0,1,0,0
728,1,2,1879,0,1,1,0
729,1,1,4036,0,0,0,1
730,0,1,770,0,1,0,1
731,1,1,869,1,1,0,0
732,0,1,1521,0,0,0,0
733,1,2,1120,1,0,0,1
734,1,2,1498,1,0,1,1
735,0,1,2634,0,1,0,1
736,1,2,1120,0,1,0,1
737,1,1,2452,1,1,0,1
738,1,2,3769,0,0,0,0
739,0,3,1436,1,0,1,1
740,1,2,1625,0,0,0,1
741,1,1,608,0,1,0,0
742,1,0,1112,0,0,0,0
743,1,2,3054,0,1,1,1
744,1,3,1130,0,0,0,1
745,1,3,3583,0,0,0,1
746,1,2,3695,0,1,0,1
747,1,1,1968,0,0,0,0
748,1,1,1233,0,1,0,0
749,1,1,2158,1,0,0,0
750,1,4,567,1,0,1,1
751,1,0,104,0,0,0,0
752,1,2,3660,0,1,0,0
753,1,1,2947,0,1,0,1
754,1,1,4157,1,0,0,1
755,1,2,3436,0,0,0,1
756,0,2,1801,0,0,1,0
757,0,0,3107,1,1,0,0
758,1,0,3201,0,1,1,0
759,1,1,198,1,0,0,0
760,1,0,3746,0,0,0,0
761,1,3,3570,1,0,0,1
762,1,2,3670,1,1,0,1
763,1,1,1240,0,1,0,0
764,1,0,3311,0,1,0,0
765,0,3,1442,0,0,1,1
766,1,0,71,0,0,0,0
767,0,0,653,0,0,0,0
768,1,1,1605,1,1,0,1
769,1,3,1164,1,1,0,1
770,1,1,829,0,1,0,0
771,1,1,2905,0,0,0,0
772,1,1,216,0,1,1,0
773,1,0,2773,1,1,0,0
774,1,0,2735,0,1,0,0
775,1,1,1991,0,0,0,1
776,1,1,3264,0,1,0,1
777,0,2,822,1,0,0,1
778,1,1,1752,0,1,0,1
779,1,2,479,1,1,0,1
780,1,3,2564,0,1,0,1
781,1,1,2058,0,1,1,0
782,1,0,1274,0,1,0,0
783,1,2,1710,0,0,1,1
784,0,2,1463,0,1,1,0
785,0,0,3694,0,0,0,0
786,1,1,2828,0,1,0,1
787,1,2,1043,0,1,0,1
788,1,2,2080,1,1,0,1
789,0,0,3747,1,0,0,0
790,1,0,3746,1,0,0,0
791,1,0,744,0,1,0,0
792,1,2,2656,0,1,0,1
793,1,1,1154,1,1,1,1
794,1,1,2815,0,0,0,0
795,1,2,1758,0,0,1,0
796,1,0,3159,0,0,0,0
797,1,0,3423,0,1,0,0
798,0,1,1319,1,1,0,0
799,1,3,3374,0,1,1,1
800,1,2,744,0,1,1,0
801,1,2,1710,1,1,1,0
802,1,2,539,1,1,0,1
803,1,1,2333,0,1,0,1
804,1,1,2626,1,1,0,1
805,1,1,2375,1,1,0,1
806,1,0,2779,1,1,0,0
807,1,2,2887,0,1,1,1
808,1,2,834,1,1,1,0
809,1,1,2796,0,0,0,0
810,0,1,1464,0,1,0,0
811,0,0,3369,1,0,0,0
812,0,1,2590,1,1,0,1
813,1,1,905,0,1,0,1
814,0,2,1379,1,0,1,0
815,1,0,3394,0,0,0,0
816,0,2,2571,0,0,0,1
817,1,2,841,0,0,1,0
818,1,0,3401,1,0,0,0
819,1,1,3502,0,1,0,0
820,1,1,2417,1,1,0,1
821,1,1,3158,0,1,0,1
822,1,1,2387,0,1,1,0
823,0,1,155,0,1,0,1
824,1,0,3507,0,1,0,0
825,1,0,3746,0,1,0,0
826,1,2,807,1,0,0,1
827,1,0,1890,0,0,0,0
828,1,1,3251,1,1,0,1
829,1,1,3269,0,1,0,1
